ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,24,-86
17-0,00:0C:42:6C:3D:2F,1,2.412,35,-75
1-0,00:0C:42:6C:40:76,1,2.412,31,-79
32-0,00:0C:42:6C:39:3D,1,2.412,23,-87
30-0,00:0C:42:6C:3D:25,1,2.412,24,-86
13-0,00:0C:42:6C:3D:C3,1,2.412,23,-87
21-0,00:0C:42:6C:40:77,1,2.412,23,-87
252-0,00:0C:42:6C:3A:3D,1,2.412,24,-86
2-0,00:0C:42:67:89:2C,1,2.412,21,-89
10-0,00:0C:42:6C:3D:42,1,2.412,25,-85
qurinet,22:22:22:22:22:22,11,2.462,22,-88
29-1,00:0C:42:67:89:B6,11,2.462,31,-79
6-0,00:0C:42:6C:40:7B,1,2.412,31,-79
30-1,00:0C:42:65:C4:4F,11,2.462,25,-85
6-1,00:0C:42:6C:3D:3E,11,2.462,29,-81
spanishflat.valleyinternet.com,00:27:22:C2:C4:C9,3,2.422,25,-85
17-1,00:0C:42:65:C6:AB,11,2.462,29,-81
31-1,00:0C:42:6C:37:C4,11,2.462,21,-89
